LP,ZAKRES,ПЕРЕЧЕНЬ РАБОТ,ILOŚĆ,JM,CENA,WARTOŚĆ,KOMENTARZ,,ZMIANA +/-,CENA DOP,JM,WARTOŚĆ,KOMENTARZ,,FINAŁ,JM,WARTOŚĆ,,Progres,%,Wart Progres,,przedp,hol,kuch,salon,biuro,master,pok1,pok2,pok3,laz1,laz2,laz3,sch1,,PAKIET START,PAKIET COMFORT,PAKIET PRESTIGE,JM,WARTOŚĆ START,WARTOŚĆ COMFORT,WARTOŚĆ PRESTIGE,,MATERIAŁ 1,NA JM,ILOŚĆ,MATERIAŁ 2,NA JM,ILOŚĆ,MATERIAŁ 3,NA JM,ILOŚĆ,MATERIAŁ 4,NA JM,ILOŚĆ,MATERIAŁ 5,NA JM,ILOŚĆ,,Zakres,Cena J,J,Umowa il,Ilość,Wykonane il,KOM,,Marż J,Koszt Umowa,Profit Umowa,Marż W Umowa,Kwota,Profit Plan,Marż W Plan,Koszt Fakt,Profit Fakt,Marż W Fakt,,Pracownik,2024-09-05,Pracownik,2024-09-12,Pracownik,2024-09-19,Pracownik,2024-09-26,Pracownik,2024-10-03,Pracownik,2024-10-10,Pracownik,2024-10-17,Pracownik,2024-10-24,Pracownik,2024-10-31,Pracownik,2024-11-07,Pracownik,2024-11-14,Pracownik,2024-11-21,Pracownik,2024-11-28,Pracownik,2024-12-05,Pracownik,2024-12-12,Pracownik,2024-12-19
"2,21",Wnęka w zabudowie z GK do szerokości 80 cm,Ниша в ГК шириной до 80 см,"0,0",kpl,"273,90 zł","0,00 zł",,,,"273,90 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Ниша в ГК шириной до 80 см,"100,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,22",Płyta betonowa (półka / blat) do wymiarów 60x90 cm,Бетонная полка до 60х90 см,"0,0",kpl,"1 089,00 zł","0,00 zł",,,,"1 089,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Бетонная полка до 60х90 см,"400,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,23",Montaż narożnika aluminiowego dla konstrukcji suchej zabudowy,Монтаж алюминиевого уголка,"0,0",mb,"20,90 zł","0,00 zł",,,,"20,90 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж алюминиевого уголка,"8,00 zł",mb,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,24",Wykończenie połączeń ścian z sufitem za pomocą narożników papierowych,Обработка стыков стен из ГК с потолком с применением бумажного уголка,"0,0",mb,"27,50 zł","0,00 zł",,,,"27,50 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Обработка стыков стен из ГК с потолком с применением бумажного уголка,"10,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,25",Sufit podwieszany prosty wraz z obróbką łączeń,Прямой подвесной потолок с заделкой швов,"0,0",m2,"242,00 zł","0,00 zł",,,,"242,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Прямой подвесной потолок с заделкой швов,"90,00 zł",m2,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,26",Uskok przy suficie podwieszany,Торец в подвесном потолке,"0,0",mb,"185,90 zł","0,00 zł",,,,"185,90 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Торец в подвесном потолке,"70,00 zł",mb,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,27","Karnisze z GK 5 cm szerokości, z narożnikiem i szpachlowaniem",Карнизы из ГК шириной 5 см,"0,0",mb,"207,90 zł","0,00 zł",,,,"207,90 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Карнизы из ГК шириной 5 см,"70,00 zł",mb,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,28",Wnęka w suficie GK,Ниша в потолке из ГК,"0,0",mb,"82,50 zł","0,00 zł",,,,"82,50 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Ниша в потолке из ГК,"30,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HYDRAULIKA STAN SUROWY,САНТЕХНИКА ЧЕРНОВАЯ,,,,"0,00 zł",,,,,,"0,00 zł","0,00 zł",,,,"0,00 zł",,,0%,"0,00 zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,САНТЕХНИКА ЧЕРНОВАЯ,,,,,,,,,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,01",Punkt wod-kan bez wkucia - nowy / relokacja,"Перенос водозаборных точек, канализации без ковки","0,0",szt,"132,00 zł","0,00 zł",,,,"132,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,szt,#N/A,#N/A,#N/A,,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Перенос водозаборных точек, канализации без ковки","45,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,02",Likwidacja (zaślepienie) punktu hydrauliki istniejącego,Ликвидация точки вод-кан,"0,0",szt,"132,00 zł","0,00 zł",,,,"132,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Ликвидация точки вод-кан,"45,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,03",Likwidacja grzejników,Ликвидация радиаторов,"0,0",szt,"341,00 zł","0,00 zł",,,,"341,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Ликвидация радиаторов,"125,00 zł",szt,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,04",Bruzdowanie / wkucie rur,Прокладка труб и заделка штробы,"0,0",mb,"69,00 zł","0,00 zł",,,,"69,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,mb,#N/A,#N/A,#N/A,,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Прокладка труб и заделка штробы,"23,00 zł",mb,"0,0","0,0","0,0",,,67%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,05",Tynkowanie bruzd,Заделка штробы,"0,0",mb,"30,00 zł","0,00 zł",,,,"30,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,0,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Заделка штробы,"12,00 zł",mb,"0,0","0,0","0,0",,,60%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,06",Bateria umywalkowa/bidet podtynkowa dwupunktowa - montaż podtynkowy,Двухвентильный смеситель для скрытой - установка в стене,"0,0",szt,"264,00 zł","0,00 zł",,,,"264,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Двухвентильный смеситель для скрытой - установка в стене,"100,00 zł",szt,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,07","Bateria prysznicowa podtynkowa - montaż podtynkowy (kpl deszczownica, słuchawka, sterownik)",Скрытый смеситель для душа,"0,0",kpl,"693,00 zł","0,00 zł",,,,"693,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Скрытый смеситель для душа,"250,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,08",Stelaż miski WC lub bidetowej,Установка рамы туалета,"0,0",szt,"473,00 zł","0,00 zł",,,,"473,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Установка рамы туалета,"170,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,09",Odpływ liniowy - wykucie i obsadzenie,Встроенный слив - монтаж слива ,"0,0",szt,"570,00 zł","0,00 zł",,,,"570,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Встроенный слив - монтаж слива ,"195,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,10",Odpływ liniowy - wykonanie spadku,Встроенный слив - формирование уклона,"0,0",szt,"310,00 zł","0,00 zł",,,,"310,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Встроенный слив - формирование уклона,"105,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,11",Odpływ punktowy - montaż kompletny,Точечный слив - монтаж  ,"0,0",szt,"380,00 zł","0,00 zł",,,,"380,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Точечный слив - монтаж  ,"130,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HYDRAULIKA BIAŁY MONTAŻ,САНТЕХНИКА ЧИСТОВАЯ,,,,"0,00 zł",,,,,,"0,00 zł","0,00 zł",,,,"0,00 zł",,,0%,"0,00 zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,САНТЕХНИКА ЧИСТОВАЯ,,,,,,,,,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,"0,00zł","0,00zł",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,01",Zawory kątowe,Монтаж краников,"0,0",szt,"49,50 zł","0,00 zł",,,,"49,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,szt,#N/A,#N/A,#N/A,,"Zawór kątowy, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж краников,"16,00 zł",szt,"0,0","0,0","0,0",,,68%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,02",Przycisk WC,Монтаж кнопки инсталляции,"0,0",szt,"71,50 zł","0,00 zł",,,,"71,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж кнопки инсталляции,"25,00 zł",szt,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,03",Miska WC wisząca,Монтаж подвесного унитаза,"0,0",szt,"176,00 zł","0,00 zł",,,,"176,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж подвесного унитаза,"60,00 zł",szt,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,04",Miska WC stojąca,Монтаж напольного унитаза,"0,0",szt,"379,50 zł","0,00 zł",,,,"379,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж напольного унитаза,"155,00 zł",szt,"0,0","0,0","0,0",,,59%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,05",Miska bidetowa wisząca,Монтаж подвесной чаши-биде,"0,0",szt,"346,50 zł","0,00 zł",,,,"346,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж подвесной чаши-биде,"125,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,06",Odpływ liniowy - montaż końcowy,Встроенный слив - чистовой монтаж,"0,0",szt,"137,50 zł","0,00 zł",,,,"137,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Встроенный слив - чистовой монтаж,"50,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,07",Przegroda szklana jednoskrzydłowa prysznicowa,Стеклянная перегородка душа,"0,0",szt,"385,00 zł","0,00 zł",,,,"385,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Стеклянная перегородка душа,"140,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,08",Wanna,Монтаж ванны,"0,0",szt,"440,00 zł","0,00 zł",,,,"440,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж ванны,"175,00 zł",szt,"0,0","0,0","0,0",,,60%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,09",Parawan nawannowy,Перегородка / стекло для ванны,"0,0",szt,"275,00 zł","0,00 zł",,,,"275,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Перегородка / стекло для ванны,"90,00 zł",szt,"0,0","0,0","0,0",,,67%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,10",Brodzik prysznicowy,Душевой поддон,"0,0",szt,"429,00 zł","0,00 zł",,,,"429,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Душевой поддон,"155,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,11",Drzwiczki systemowe prysznicowe,Душевые двери,"0,0",szt,"495,00 zł","0,00 zł",,,,"495,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Душевые двери,"180,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,12",Umywalka nablatowa,Монтаж накладного умывальника,"0,0",szt,"181,50 zł","0,00 zł",,,,"181,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж накладного умывальника,"65,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,13",Umywalka podblatowa (bez otworowania),Монтаж встраиваемого умывальника,"0,0",szt,"264,00 zł","0,00 zł",,,,"264,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж встраиваемого умывальника,"95,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,14",Syfon,Монтаж сифона,"0,0",szt,"71,50 zł","0,00 zł",,,,"71,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,0,0,szt,"0,00 zł","0,00 zł","0,00 zł",,"Syfon, szt","1,00","0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж сифона,"25,00 zł",szt,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,15",Bateria stojąca umywalkowa,Смеситель на умывальник,"0,0",szt,"181,50 zł","0,00 zł",,,,"181,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Смеситель на умывальник,"65,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,16",Bateria umywalkowa/bidet podtynkowa dwupunktowy - montaż końcowy,Двухвентильный смеситель для раковины - окончательная сборка,"0,0",szt,"110,00 zł","0,00 zł",,,,"110,00 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,0,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Двухвентильный смеситель для раковины - окончательная сборка,"40,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,17",Bateria stojąca wannowa,Смеситель для ванны вертикальный,"0,0",szt,"181,50 zł","0,00 zł",,,,"181,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,0,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Смеситель для ванны вертикальный,"65,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,18",Bateria natynkowa prysznicowa,Стандартный смеситель для душа,"0,0",szt,"181,50 zł","0,00 zł",,,,"181,50 zł",szt,"0,00 zł",,,"0,0",szt,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,0,,,szt,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Стандартный смеситель для душа,"65,00 zł",szt,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
